title,torneo,fecha,local,local_es,visitante,visitante_es,canal1,canal2
Liga BBVA Deportivo La Coruña vs. Espanyol,liga_bbva,2015-09-27 13:45,Deportivo La Coruña,deportivo_la_coruña,Espanyol,espanyol,625,1625
Liga BBVA Getafe vs. Levante,liga_bbva,2015-09-27 16:00,Getafe,getafe,Levante,levante,625,1625
Liga BBVA Real Sociedad vs. Athletic Bilbao,liga_bbva,2015-09-27 18:15,Real Sociedad,real_sociedad,Athletic Bilbao,athletic_bilbao,626,1626
Ligue I Francia Nantes vs. PSG,ligue_l,2015-09-26 15:30,Nantes,nantes,PSG,psg,618,1618
Ligue I Francia Bordeaux vs. Lyon,ligue_l,2015-09-26 18:00,Bordeaux,bordeaux,Lyon,lyon,612,1612
Ligue I Francia Guingamp vs. Monaco FC,ligue_l,2015-09-27 14:45,Guingamp,guingamp,Monaco FC,monaco_fc,621,1621
Liga de Portugal Moreirense vs. Porto,portugal,2015-09-25 19:30,Moreirense,moreirense,Porto,porto,612,1612
Bundesliga Werder Bremen vs. Bayer Leverkusen,bundesliga,2015-09-26 13:15,Werder Bremen,werder_bremen,Bayer Leverkusen,bayer_leverkusen,621,1621
Bundesliga Mainz 05 vs. Bayer Munich,bundesliga,2015-09-26 13:30,Mainz 05,mainz_05,Bayer Munich,bayer_munich,604,1604
Bundesliga Borussia Dortmund vs. Darmstadt 98,bundesliga,2015-09-27 15:45,Borussia Dortmund,borussia_dortmund,Darmstadt 98,darmstadt_98,626,1626
Serie A Italia Napoli vs. Juventus,serie_a,2015-09-26 18:15,Napoli,napoli,Juventus,juventus,621,1621
Serie A Italia Genoa vs. Milan,serie_a,2015-09-27 10:30,Genoa,genoa,Milan,milan,625,1625
Serie A Italia Inter vs. Fiorentina,serie_a,2015-09-27 18:30,Inter,inter,Fiorentina,fiorentina,604,1604
Liga Águila Equidad vs. Alianza Petrolera,liga_aguila,2015-09-26 01:00,Equidad,equidad,Alianza Petrolera,alianza_petrolera,633,1633
Liga Águila Once Caldas vs. Envigado,liga_aguila,2015-09-26 19:00,Once Caldas,once_caldas,Envigado,envigado,633,1633
Liga Águila Cortuluá vs. Cali,liga_aguila,2015-09-26 21:00,Cortuluá,cortulua,Cali,cali,633,1633
Liga Águila Cúcuta vs. Uniautónoma,liga_aguila,2015-09-26 23:00,Cúcuta,cucuta,Uniautónoma,uniautonoma,633,1633
Liga Águila Tolima vs. Santa Fe,liga_aguila,2015-09-27 01:00,Tolima,tolima,Santa Fe,santa_fe,633,1633
Liga Águila Millonarios vs. Huila,liga_aguila,2015-09-27 19:00,Millonarios,millonarios,Huila,huila,633,1633
Liga Águila Jaguáres vs. Águilas Doradas,liga_aguila,2015-09-27 21:00,Jaguáres,jaguares,Águilas Doradas,aguilas_doradas,633,1633
Liga Águila Nacional vs. Boyacá Chicó,liga_aguila,2015-09-27 22:00,Nacional,nacional,Boyacá Chicó,boyaca_chico,130,1130
Liga Águila Junior vs. Pasto,liga_aguila,2015-09-27 23:00,Junior,junior,Pasto,pasto,633,1633
Liga Águila Patriotas vs. Medellín,liga_aguila,2015-09-28 01:00,Patriotas,patriotas,Medellín,medellin,633,1633
