title,torneo,fecha,local,local_es,visitante,visitante_es,canal1,canal2
Copa Sudamericana Deportes Tolima (COL) vs. sportivo Luqueño (PAR),copa_sudamericana,2015-09-22 23:30,Deportes Tolima (COL),tolima,sportivo Luqueño (PAR),sportivo_luqueño_(par),604,1604
Copa Sudamericana River Plate (ARG) vs. LDU Quito (ECU),copa_sudamericana,2015-09-23 22:00,River Plate (ARG),river_plate_(arg),LDU Quito (ECU),ldu_quito,604,1604
Copa Sudamericana Independiente (ARG) vs. Olimpia (PAR),copa_sudamericana,2015-09-24 00:00,Independiente (ARG),independiente,Olimpia (PAR),olimpia,604,1604
Copa Sudamericana Lanus (ARG) vs. Defensor (URU),copa_sudamericana,2015-09-25 00:00,Lanus (ARG),lanus,Defensor (URU),defensor,604,1604
Copa Águila Junior vs. Medellín,copa_aguila,2015-09-24 01:00,Junior,junior,Medellín,medellin,633,1633
Premier League Tottenham vs. Manchester City,premier_league,2015-09-26 11:30,Tottenham,tottenham,Manchester City,manchester_city,625,1625
Premier League Leicester City vs. Arsenal,premier_league,2015-09-26 13:45,Leicester City,leicester_city,Arsenal,arsenal,625,1625
Premier League Stoke City vs. Bournemouth,premier_league,2015-09-26 14:00,Stoke City,stoke_city,Bournemouth,bournemouth,612,1612
Premier League Manchester United vs. Sunderland,premier_league,2015-09-26 14:00,Manchester United,manchester_united,Sunderland,sunderland,613,1613
Premier League Liverpool vs. Aston Villa,premier_league,2015-09-26 14:00,Liverpool,liverpool,Aston Villa,aston_villa,614,1614
Premier League Southampton vs. Swansea,premier_league,2015-09-26 14:00,Southampton,southampton,Swansea,swansea,615,1615
Premier League West Ham vs. Norwich,premier_league,2015-09-26 14:00,West Ham,west_ham,Norwich,norwich,616,1616
Premier League Newcastle vs. Chelsea,premier_league,2015-09-26 16:30,Newcastle,newcastle,Chelsea,chelsea,613,1613
Premier League Watford vs. Crystal Palace,premier_league,2015-09-27 15:00,Watford,watford,Crystal Palace,crystal_palace,613,1613
Premier League Albion vs. Everton,premier_league,2015-09-28 19:00,Albion,albion,Everton,everton,613,1613
Liga BBVA Valencia vs. Granada,liga_bbva,2015-09-25 18:30,Valencia,valencia,Granada,granada,621,1621
Liga BBVA Barcelona vs. Las Palmas,liga_bbva,2015-09-26 14:00,Barcelona,barcelona,Las Palmas,las_palmas,610,1610
Liga BBVA Real Madrid vs. Málaga,liga_bbva,2015-09-26 16:00,Real Madrid,real_madrid,Málaga,malaga,625,1625
Liga BBVA Villarreal vs. Atlético de Madrid,liga_bbva,2015-09-26 18:15,Villarreal,villarreal,Atlético de Madrid,atlético_de_madrid,625,1625
Liga BBVA Sevilla vs. Rayo Vallecano,liga_bbva,2015-09-26 18:30,Sevilla,sevilla,Rayo Vallecano,rayo_vallecano,610,1610
Liga BBVA Eibar vs. Celta de Vigo,liga_bbva,2015-09-26 20:00,Eibar,eibar,Celta de Vigo,celta_de_vigo,612,1612
Liga BBVA Sporting Gijón vs. Betis,liga_bbva,2015-09-27 10:00,Sporting Gijón,sporting_gijon,Betis,betis,610,1610
